,name,batter,bat_speed,attack_angle,vba,ttc
0,Matt Olson,621566,74.04,8.814,-33.881,0.138
1,Rafael Devers,646240,71.664,10.032,-29.903,0.144
2,Kyle Schwarber,656941,77.327,14.567,-30.312,0.133
3,Juan Soto,665742,73.581,10.954,-28.122,0.13
4,Geraldo Perdomo,672695,68.069,7.242,-35.371,0.138
5,Francisco Lindor,596019,70.951,11.097,-33.848,0.144
6,James Wood,695578,76.059,11.129,-39.667,0.138
7,Shohei Ohtani,660271,75.838,15.024,-36.96,0.143
8,Cal Raleigh,663728,75.245,17.918,-34.355,0.143
9,Randy Arozarena,668227,72.309,8.681,-25.298,0.141
10,Pete Alonso,624413,75.363,10.214,-33.85,0.128
11,Willy Adames,642715,72.087,18.485,-35.316,0.154
12,Steven Kwan,680757,63.579,3.208,-35.591,0.136
13,Taylor Ward,621493,69.48,9.12,-32.122,0.139
14,Brice Turang,668930,70.487,6.857,-31.123,0.132
15,Aaron Judge,592450,77.009,14.081,-38.43,0.144
16,José Ramírez,608070,71.036,8.804,-29.728,0.139
17,J. P. Crawford,641487,71.028,4.671,-36.018,0.137
18,Elly De La Cruz,682829,74.538,8.322,-33.662,0.132
19,Riley Greene,682985,75.667,13.897,-44.586,0.131
20,Ian Happ,664023,71.749,10.392,-32.667,0.132
21,Seiya Suzuki,673548,73.434,8.155,-31.1,0.135
22,Manny Machado,592518,74.501,7.612,-26.522,0.143
23,Heliot Ramos,671218,74.025,5.978,-31.498,0.126
24,Fernando Tatís,665487,73.918,8.323,-29.771,0.135
25,Spencer Torkelson,679529,73.12,13.578,-38.03,0.145
26,Gleyber Torres,650402,70.217,9.323,-34.082,0.139
27,Tj Friedl,670770,69.716,9.195,-28.291,0.131
28,Marcell Ozuna,542303,72.897,13.938,-36.88,0.136
29,Bryan Reynolds,668804,72.254,13.09,-37.885,0.131
30,Jarren Duran,680776,74.849,5.694,-26.533,0.137
31,Christian Yelich,592885,73.292,9.669,-36.238,0.14
32,Eugenio Suárez,553993,72.243,18.465,-38.717,0.147
33,Nathaniel Lowe,663993,72.709,6.702,-30.105,0.136
34,Brandon Nimmo,607043,72.258,6.679,-29.063,0.136
35,Cody Bellinger,641355,70.18,12.954,-32.396,0.151
36,Brent Rooker,667670,73.587,12.316,-36.264,0.132
37,Vinnie Pasquantino,686469,72.592,9.803,-29.396,0.139
38,William Contreras,661388,73.236,10.636,-29.256,0.133
