name,batter,bat_speed,attack_angle,vba,hba,zone_top,zone_bot,ttc,swing_length,side,batter_depth,batter_distance,contact_depth,avg,obp,slg,bb_rate,k_rate
Matt Olson,621566,74.04,8.814,-33.881,0.966,42.972,20.580000000000002,0.138,7.479,L,31.158577819461257,30.52909491143871,1.3481366169518951,0.272,0.366,0.484,12.6,24.3
Rafael Devers,646240,71.664,10.032,-29.903,4.434,41.772,19.176000000000002,0.144,7.571,L,22.47486499681841,25.92262103714761,6.071219471437913,0.252,0.372,0.479,15.4,26.3
Kyle Schwarber,656941,77.327,14.567,-30.312,-5.79,39.684,18.288,0.133,7.531,L,21.072391272586664,25.29905975617781,12.35007892327338,0.24,0.365,0.563,14.9,27.2
Juan Soto,665742,73.581,10.954,-28.122,3.841,38.196,18.528,0.13,7.029,L,24.855295862914566,30.25149559747893,-1.6328762851707148,0.263,0.396,0.525,17.8,19.2
Geraldo Perdomo,672695,68.069,7.242,-35.371,-1.482,42.18,19.524,0.138,6.883,L,17.211090045821873,25.47552798985059,6.881733935545002,0.29,0.389,0.462,13.1,11.5
Geraldo Perdomo,672695,68.069,7.242,-35.371,-1.482,42.18,19.524,0.138,6.883,R,22.05052770114312,25.730715021550356,6.0525263348630896,0.29,0.389,0.462,13.1,11.5
Francisco Lindor,596019,70.951,11.097,-33.848,-1.511,41.124,18.72,0.144,7.5,L,26.600932931098185,26.26427945505004,1.903760987141889,0.267,0.346,0.466,8.9,17.9
Francisco Lindor,596019,70.951,11.097,-33.848,-1.511,41.124,18.72,0.144,7.5,R,28.10541804412225,25.448690654043727,2.9804888143166117,0.267,0.346,0.466,8.9,17.9
James Wood,695578,76.059,11.129,-39.667,1.897,46.644,21.6,0.138,7.662,L,30.969662434838785,30.13312259180936,1.7085815559659778,0.256,0.35,0.475,12.3,32.1
Shohei Ohtani,660271,75.838,15.024,-36.96,-1.988,42.384,19.368000000000002,0.143,7.928,L,28.985436377625668,31.931798658016543,-1.390236548591936,0.282,0.392,0.622,15.0,25.7
Cal Raleigh,663728,75.245,17.918,-34.355,-8.391,43.176,20.172,0.143,7.898,L,29.33225715063691,24.09279200023609,5.18385464713892,0.247,0.359,0.589,13.8,26.7
Cal Raleigh,663728,75.245,17.918,-34.355,-8.391,43.176,20.172,0.143,7.898,R,26.591533194452385,25.341285192726467,12.410823101248797,0.247,0.359,0.589,13.8,26.7
Randy Arozarena,668227,72.309,8.681,-25.298,0.37,40.068,19.044,0.141,7.448,R,22.57866485908006,24.21268542124735,8.657268445458916,0.238,0.334,0.426,9.0,26.9
Pete Alonso,624413,75.363,10.214,-33.85,0.874,42.3,20.04,0.128,7.066,R,24.397816569211887,27.14281370792842,3.865574349701243,0.272,0.347,0.524,8.6,22.8
Willy Adames,642715,72.087,18.485,-35.316,-3.953,41.616,20.46,0.154,8.142,R,29.106121460433663,28.93962035442951,2.4467897621099906,0.225,0.318,0.421,11.7,26.1
Steven Kwan,680757,63.579,3.208,-35.591,-2.434,37.968,17.375999999999998,0.136,6.322,L,22.84309002026496,22.666924784528803,6.95104491111992,0.272,0.33,0.374,7.9,8.7
Taylor Ward,621493,69.48,9.12,-32.122,-2.909,40.836,19.476,0.139,7.091,R,31.65932148209616,25.71715222563784,1.7985823153890803,0.228,0.317,0.475,11.3,26.4
Brice Turang,668930,70.487,6.857,-31.123,8.45,41.424,19.428,0.132,6.815,L,30.597524236436143,26.81307979797676,1.249881149712469,0.288,0.359,0.435,10.0,22.8
Aaron Judge,592450,77.009,14.081,-38.43,-5.988,48.52799999999999,22.128,0.144,8.107,R,26.238280036372384,33.09666937729869,4.316419710496247,0.331,0.457,0.688,18.3,23.6
José Ramírez,608070,71.036,8.804,-29.728,-9.255,40.944,18.912,0.139,7.238,L,30.4307381944894,21.780873370015,2.291609515387722,0.283,0.36,0.503,9.8,11.0
José Ramírez,608070,71.036,8.804,-29.728,-9.255,40.944,18.912,0.139,7.238,R,29.698781485197657,24.930905919277205,2.534909785398795,0.283,0.36,0.503,9.8,11.0
J. P. Crawford,641487,71.028,4.671,-36.018,1.711,39.384,18.54,0.137,7.153,L,34.92258681308943,27.636427542271203,1.6859095435081803,0.265,0.352,0.37,11.3,18.7
